country,year,lifeExp,pop
Lesotho,1992,NA,1803195
Lesotho,1997,NA,1982823
Lesotho,2002,NA,2046772
Lesotho,2007,NA,2012649
Liberia,1952,NA,863308
Liberia,1957,NA,975950
Liberia,1962,NA,1112796
Liberia,1967,NA,1279406
Liberia,1972,NA,1482628
Liberia,1977,NA,1703617
Liberia,1982,NA,1956875
Liberia,1987,NA,2269414
Liberia,1992,NA,1912974
Liberia,1997,NA,2200725
Liberia,2002,NA,2814651
Liberia,2007,NA,3193942
Libya,1952,NA,1019729
Libya,1957,NA,1201578
Libya,1962,NA,1441863
Libya,1967,NA,1759224
Libya,1972,NA,2183877
Libya,1977,NA,2721783
Libya,1982,NA,3344074
Libya,1987,NA,3799845
Libya,1992,NA,4364501
Libya,1997,NA,4759670
Libya,2002,NA,5368585
Libya,2007,NA,6036914
Madagascar,1952,NA,4762912
Madagascar,1957,NA,5181679
Madagascar,1962,NA,5703324
Madagascar,1967,NA,6334556
Madagascar,1972,NA,7082430
Madagascar,1977,NA,8007166
Madagascar,1982,NA,9171477
Madagascar,1987,NA,10568642
Madagascar,1992,NA,12210395
Madagascar,1997,NA,14165114
Madagascar,2002,NA,16473477
Madagascar,2007,NA,19167654
Malawi,1952,NA,2917802
Malawi,1957,NA,3221238
Malawi,1962,NA,3628608
Malawi,1967,NA,4147252
Malawi,1972,NA,4730997
Malawi,1977,NA,5637246
Malawi,1982,NA,6502825
Malawi,1987,NA,7824747
Malawi,1992,NA,10014249
Malawi,1997,NA,10419991
Malawi,2002,NA,11824495
Malawi,2007,NA,13327079
Malaysia,1952,NA,6748378
Malaysia,1957,NA,7739235
Malaysia,1962,NA,8906385
Malaysia,1967,NA,10154878
Malaysia,1972,NA,11441462
Malaysia,1977,NA,12845381
Malaysia,1982,NA,14441916
Malaysia,1987,NA,16331785
Malaysia,1992,NA,18319502
Malaysia,1997,NA,20476091
Malaysia,2002,NA,22662365
Malaysia,2007,NA,24821286
Mali,1952,NA,3838168
Mali,1957,NA,4241884
Mali,1962,NA,4690372
Mali,1967,NA,5212416
Mali,1972,NA,5828158
Mali,1977,NA,6491649
Mali,1982,NA,6998256
Mali,1987,NA,7634008
Mali,1992,NA,8416215
Mali,1997,NA,9384984
Mali,2002,NA,10580176
Mali,2007,NA,12031795
Mauritania,1952,NA,1022556
Mauritania,1957,NA,1076852
Mauritania,1962,NA,1146757
Mauritania,1967,NA,1230542
Mauritania,1972,NA,1332786
Mauritania,1977,NA,1456688
Mauritania,1982,NA,1622136
Mauritania,1987,NA,1841240
Mauritania,1992,NA,2119465
Mauritania,1997,NA,2444741
Mauritania,2002,NA,2828858
Mauritania,2007,NA,3270065
Mauritius,1952,NA,516556
Mauritius,1957,NA,609816
Mauritius,1962,NA,701016
Mauritius,1967,NA,789309
Mauritius,1972,NA,851334
Mauritius,1977,NA,913025
Mauritius,1982,NA,992040
Mauritius,1987,NA,1042663
Mauritius,1992,NA,1096202
Mauritius,1997,NA,1149818
Mauritius,2002,NA,1200206
Mauritius,2007,NA,1250882
Mexico,1952,NA,30144317
Mexico,1957,NA,35015548
Mexico,1962,NA,41121485
Mexico,1967,NA,47995559
Mexico,1972,NA,55984294
Mexico,1977,NA,63759976
Mexico,1982,NA,71640904
Mexico,1987,NA,80122492
Mexico,1992,NA,88111030
Mexico,1997,NA,95895146
Mexico,2002,NA,102479927
Mexico,2007,NA,108700891
Mongolia,1952,NA,800663
Mongolia,1957,NA,882134
Mongolia,1962,NA,1010280
Mongolia,1967,NA,1149500
Mongolia,1972,NA,1320500
Mongolia,1977,NA,1528000
Mongolia,1982,NA,1756032
Mongolia,1987,NA,2015133
Mongolia,1992,NA,2312802
Mongolia,1997,NA,2494803
Mongolia,2002,NA,2674234
Mongolia,2007,NA,2874127
Montenegro,1952,NA,413834
Montenegro,1957,NA,442829
Montenegro,1962,NA,474528
Montenegro,1967,NA,501035
Montenegro,1972,NA,527678
Montenegro,1977,NA,560073
Montenegro,1982,NA,562548
Montenegro,1987,NA,569473
Montenegro,1992,NA,621621
Montenegro,1997,NA,692651
Montenegro,2002,NA,720230
Montenegro,2007,NA,684736
Morocco,1952,NA,9939217
Morocco,1957,NA,11406350
Morocco,1962,NA,13056604
Morocco,1967,NA,14770296
Morocco,1972,NA,16660670
Morocco,1977,NA,18396941
Morocco,1982,NA,20198730
Morocco,1987,NA,22987397
Morocco,1992,NA,25798239
Morocco,1997,NA,28529501
Morocco,2002,NA,31167783
Morocco,2007,NA,33757175
Mozambique,1952,NA,6446316
Mozambique,1957,NA,7038035
Mozambique,1962,NA,7788944
Mozambique,1967,NA,8680909
Mozambique,1972,NA,9809596
Mozambique,1977,NA,11127868
Mozambique,1982,NA,12587223
Mozambique,1987,NA,12891952
Mozambique,1992,NA,13160731
Mozambique,1997,NA,16603334
Mozambique,2002,NA,18473780
Mozambique,2007,NA,19951656
Myanmar,1952,NA,20092996
Myanmar,1957,NA,21731844
Myanmar,1962,NA,23634436
Myanmar,1967,NA,25870271
Myanmar,1972,NA,28466390
Myanmar,1977,NA,31528087
Myanmar,1982,NA,34680442
Myanmar,1987,NA,38028578
Myanmar,1992,NA,40546538
Myanmar,1997,NA,43247867
Myanmar,2002,NA,45598081
Myanmar,2007,NA,47761980
Namibia,1952,NA,485831
Namibia,1957,NA,548080
Namibia,1962,NA,621392
Namibia,1967,NA,706640
Namibia,1972,NA,821782
Namibia,1977,NA,977026
Namibia,1982,NA,1099010
Namibia,1987,NA,1278184
Namibia,1992,NA,1554253
Namibia,1997,NA,1774766
Namibia,2002,NA,1972153
Namibia,2007,NA,2055080
Nepal,1952,NA,9182536
Nepal,1957,NA,9682338
Nepal,1962,NA,10332057
Nepal,1967,NA,11261690
Nepal,1972,NA,12412593
Nepal,1977,NA,13933198
Nepal,1982,NA,15796314
Nepal,1987,NA,17917180
Nepal,1992,NA,20326209
Nepal,1997,NA,23001113
Nepal,2002,NA,25873917
Nepal,2007,NA,28901790
Netherlands,1952,NA,10381988
Netherlands,1957,NA,11026383
Netherlands,1962,NA,11805689
Netherlands,1967,NA,12596822
Netherlands,1972,NA,13329874
Netherlands,1977,NA,13852989
Netherlands,1982,NA,14310401
Netherlands,1987,NA,14665278
Netherlands,1992,NA,15174244
Netherlands,1997,NA,15604464
Netherlands,2002,NA,16122830
Netherlands,2007,NA,16570613
New Zealand,1952,NA,1994794
New Zealand,1957,NA,2229407
New Zealand,1962,NA,2488550
New Zealand,1967,NA,2728150
New Zealand,1972,NA,2929100
New Zealand,1977,NA,3164900
New Zealand,1982,NA,3210650
New Zealand,1987,NA,3317166
New Zealand,1992,NA,3437674
New Zealand,1997,NA,3676187
New Zealand,2002,NA,3908037
New Zealand,2007,NA,4115771
Nicaragua,1952,NA,1165790
Nicaragua,1957,NA,1358828
Nicaragua,1962,NA,1590597
Nicaragua,1967,NA,1865490
Nicaragua,1972,NA,2182908
Nicaragua,1977,NA,2554598
Nicaragua,1982,NA,2979423
Nicaragua,1987,NA,3344353
Nicaragua,1992,NA,4017939
Nicaragua,1997,NA,4609572
Nicaragua,2002,NA,5146848
Nicaragua,2007,NA,5675356
Niger,1952,NA,3379468
Niger,1957,NA,3692184
Niger,1962,NA,4076008
Niger,1967,NA,4534062
Niger,1972,NA,5060262
Niger,1977,NA,5682086
Niger,1982,NA,6437188
Niger,1987,NA,7332638
Niger,1992,NA,8392818
Niger,1997,NA,9666252
Niger,2002,NA,11140655
Niger,2007,NA,12894865
Nigeria,1952,NA,33119096
Nigeria,1957,NA,37173340
Nigeria,1962,NA,41871351
Nigeria,1967,NA,47287752
Nigeria,1972,NA,53740085
Nigeria,1977,NA,62209173
Nigeria,1982,NA,73039376
Nigeria,1987,NA,81551520
Nigeria,1992,NA,93364244
Nigeria,1997,NA,106207839
Nigeria,2002,NA,119901274
Nigeria,2007,NA,135031164
Norway,1952,NA,3327728
Norway,1957,NA,3491938
Norway,1962,NA,3638919
Norway,1967,NA,3786019
Norway,1972,NA,3933004
Norway,1977,NA,4043205
Norway,1982,NA,4114787
Norway,1987,NA,4186147
Norway,1992,NA,4286357
Norway,1997,NA,4405672
Norway,2002,NA,4535591
Norway,2007,NA,4627926
Oman,1952,NA,507833
Oman,1957,NA,561977
Oman,1962,NA,628164
Oman,1967,NA,714775
Oman,1972,NA,829050
Oman,1977,NA,1004533
Oman,1982,NA,1301048
Oman,1987,NA,1593882
Oman,1992,NA,1915208
Oman,1997,NA,2283635
Oman,2002,NA,2713462
Oman,2007,NA,3204897
Pakistan,1952,NA,41346560
Pakistan,1957,NA,46679944
Pakistan,1962,NA,53100671
Pakistan,1967,NA,60641899
Pakistan,1972,NA,69325921
Pakistan,1977,NA,78152686
Pakistan,1982,NA,91462088
Pakistan,1987,NA,105186881
Pakistan,1992,NA,120065004
Pakistan,1997,NA,135564834
Pakistan,2002,NA,153403524
Pakistan,2007,NA,169270617
Panama,1952,NA,940080
Panama,1957,NA,1063506
Panama,1962,NA,1215725
Panama,1967,NA,1405486
Panama,1972,NA,1616384
Panama,1977,NA,1839782
Panama,1982,NA,2036305
Panama,1987,NA,2253639
Panama,1992,NA,2484997
Panama,1997,NA,2734531
Panama,2002,NA,2990875
Panama,2007,NA,3242173
Paraguay,1952,NA,1555876
Paraguay,1957,NA,1770902
Paraguay,1962,NA,2009813
Paraguay,1967,NA,2287985
Paraguay,1972,NA,2614104
Paraguay,1977,NA,2984494
Paraguay,1982,NA,3366439
Paraguay,1987,NA,3886512
Paraguay,1992,NA,4483945
Paraguay,1997,NA,5154123
Paraguay,2002,NA,5884491
Paraguay,2007,NA,6667147
Peru,1952,NA,8025700
Peru,1957,NA,9146100
Peru,1962,NA,10516500
Peru,1967,NA,12132200
Peru,1972,NA,13954700
Peru,1977,NA,15990099
Peru,1982,NA,18125129
Peru,1987,NA,20195924
Peru,1992,NA,22430449
Peru,1997,NA,24748122
Peru,2002,NA,26769436
Peru,2007,NA,28674757
Philippines,1952,NA,22438691
Philippines,1957,NA,26072194
Philippines,1962,NA,30325264
Philippines,1967,NA,35356600
Philippines,1972,NA,40850141
Philippines,1977,NA,46850962
Philippines,1982,NA,53456774
Philippines,1987,NA,60017788
Philippines,1992,NA,67185766
Philippines,1997,NA,75012988
Philippines,2002,NA,82995088
Philippines,2007,NA,91077287
Poland,1952,NA,25730551
Poland,1957,NA,28235346
Poland,1962,NA,30329617
Poland,1967,NA,31785378
Poland,1972,NA,33039545
Poland,1977,NA,34621254
Poland,1982,NA,36227381
Poland,1987,NA,37740710
Poland,1992,NA,38370697
Poland,1997,NA,38654957
Poland,2002,NA,38625976
Poland,2007,NA,38518241
Portugal,1952,NA,8526050
Portugal,1957,NA,8817650
Portugal,1962,NA,9019800
Portugal,1967,NA,9103000
Portugal,1972,NA,8970450
Portugal,1977,NA,9662600
Portugal,1982,NA,9859650
Portugal,1987,NA,9915289
Portugal,1992,NA,9927680
Portugal,1997,NA,10156415
Portugal,2002,NA,10433867
Portugal,2007,NA,10642836
Puerto Rico,1952,NA,2227000
Puerto Rico,1957,NA,2260000
Puerto Rico,1962,NA,2448046
Puerto Rico,1967,NA,2648961
Puerto Rico,1972,NA,2847132
Puerto Rico,1977,NA,3080828
Puerto Rico,1982,NA,3279001
Puerto Rico,1987,NA,3444468
Puerto Rico,1992,NA,3585176
Puerto Rico,1997,NA,3759430
Puerto Rico,2002,NA,3859606
Puerto Rico,2007,NA,3942491
Reunion,1952,NA,257700
Reunion,1957,NA,308700
Reunion,1962,NA,358900
Reunion,1967,NA,414024
Reunion,1972,NA,461633
Reunion,1977,NA,492095
Reunion,1982,NA,517810
Reunion,1987,NA,562035
Reunion,1992,NA,622191
Reunion,1997,NA,684810
Reunion,2002,NA,743981
Reunion,2007,NA,798094
Romania,1952,NA,16630000
Romania,1957,NA,17829327
Romania,1962,NA,18680721
Romania,1967,NA,19284814
Romania,1972,NA,20662648
Romania,1977,NA,21658597
Romania,1982,NA,22356726
Romania,1987,NA,22686371
Romania,1992,NA,22797027
Romania,1997,NA,22562458
Romania,2002,NA,22404337
Romania,2007,NA,22276056
Rwanda,1952,NA,2534927
Rwanda,1957,NA,2822082
Rwanda,1962,NA,3051242
Rwanda,1967,NA,3451079
Rwanda,1972,NA,3992121
Rwanda,1977,NA,4657072
Rwanda,1982,NA,5507565
Rwanda,1987,NA,6349365
Rwanda,1992,NA,7290203
Rwanda,1997,NA,7212583
Rwanda,2002,NA,7852401
Rwanda,2007,NA,8860588
Sao Tome and Principe,1952,NA,60011
Sao Tome and Principe,1957,NA,61325
Sao Tome and Principe,1962,NA,65345
Sao Tome and Principe,1967,NA,70787
Sao Tome and Principe,1972,NA,76595
Sao Tome and Principe,1977,NA,86796
Sao Tome and Principe,1982,NA,98593
Sao Tome and Principe,1987,NA,110812
Sao Tome and Principe,1992,NA,125911
Sao Tome and Principe,1997,NA,145608
Sao Tome and Principe,2002,NA,170372
Sao Tome and Principe,2007,NA,199579
Saudi Arabia,1952,NA,4005677
Saudi Arabia,1957,NA,4419650
Saudi Arabia,1962,NA,4943029
Saudi Arabia,1967,NA,5618198
Saudi Arabia,1972,NA,6472756
Saudi Arabia,1977,NA,8128505
Saudi Arabia,1982,NA,11254672
Saudi Arabia,1987,NA,14619745
Saudi Arabia,1992,NA,16945857
Saudi Arabia,1997,NA,21229759
Saudi Arabia,2002,NA,24501530
Saudi Arabia,2007,NA,27601038
Senegal,1952,NA,2755589
Senegal,1957,NA,3054547
Senegal,1962,NA,3430243
Senegal,1967,NA,3965841
Senegal,1972,NA,4588696
Senegal,1977,NA,5260855
Senegal,1982,NA,6147783
Senegal,1987,NA,7171347
Senegal,1992,NA,8307920
Senegal,1997,NA,9535314
Senegal,2002,NA,10870037
Senegal,2007,NA,12267493
Serbia,1952,NA,6860147
Serbia,1957,NA,7271135
Serbia,1962,NA,7616060
Serbia,1967,NA,7971222
Serbia,1972,NA,8313288
Serbia,1977,NA,8686367
Serbia,1982,NA,9032824
Serbia,1987,NA,9230783
Serbia,1992,NA,9826397
Serbia,1997,NA,10336594
Serbia,2002,NA,10111559
Serbia,2007,NA,10150265
Sierra Leone,1952,NA,2143249
Sierra Leone,1957,NA,2295678
Sierra Leone,1962,NA,2467895
Sierra Leone,1967,NA,2662190
Sierra Leone,1972,NA,2879013
Sierra Leone,1977,NA,3140897
Sierra Leone,1982,NA,3464522
Sierra Leone,1987,NA,3868905
Sierra Leone,1992,NA,4260884
Sierra Leone,1997,NA,4578212
Sierra Leone,2002,NA,5359092
Sierra Leone,2007,NA,6144562
Singapore,1952,NA,1127000
Singapore,1957,NA,1445929
Singapore,1962,NA,1750200
Singapore,1967,NA,1977600
Singapore,1972,NA,2152400
Singapore,1977,NA,2325300
Singapore,1982,NA,2651869
Singapore,1987,NA,2794552
Singapore,1992,NA,3235865
Singapore,1997,NA,3802309
Singapore,2002,NA,4197776
Singapore,2007,NA,4553009
Slovak Republic,1952,NA,3558137
Slovak Republic,1957,NA,3844277
Slovak Republic,1962,NA,4237384
Slovak Republic,1967,NA,4442238
Slovak Republic,1972,NA,4593433
Slovak Republic,1977,NA,4827803
Slovak Republic,1982,NA,5048043
Slovak Republic,1987,NA,5199318
Slovak Republic,1992,NA,5302888
Slovak Republic,1997,NA,5383010
Slovak Republic,2002,NA,5410052
Slovak Republic,2007,NA,5447502
Slovenia,1952,NA,1489518
Slovenia,1957,NA,1533070
Slovenia,1962,NA,1582962
Slovenia,1967,NA,1646912
Slovenia,1972,NA,1694510
Slovenia,1977,NA,1746919
Slovenia,1982,NA,1861252
Slovenia,1987,NA,1945870
Slovenia,1992,NA,1999210
Slovenia,1997,NA,2011612
Slovenia,2002,NA,2011497
Slovenia,2007,NA,2009245
Somalia,1952,NA,2526994
Somalia,1957,NA,2780415
Somalia,1962,NA,3080153
Somalia,1967,NA,3428839
Somalia,1972,NA,3840161
Somalia,1977,NA,4353666
Somalia,1982,NA,5828892
Somalia,1987,NA,6921858
Somalia,1992,NA,6099799
Somalia,1997,NA,6633514
Somalia,2002,NA,7753310
Somalia,2007,NA,9118773
South Africa,1952,NA,14264935
South Africa,1957,NA,16151549
South Africa,1962,NA,18356657
South Africa,1967,NA,20997321
South Africa,1972,NA,23935810
South Africa,1977,NA,27129932
South Africa,1982,NA,31140029
South Africa,1987,NA,35933379
South Africa,1992,NA,39964159
South Africa,1997,NA,42835005
South Africa,2002,NA,44433622
South Africa,2007,NA,43997828
Spain,1952,NA,28549870
Spain,1957,NA,29841614
Spain,1962,NA,31158061
Spain,1967,NA,32850275
Spain,1972,NA,34513161
Spain,1977,NA,36439000
Spain,1982,NA,37983310
Spain,1987,NA,38880702
Spain,1992,NA,39549438
Spain,1997,NA,39855442
Spain,2002,NA,40152517
Spain,2007,NA,40448191
Sri Lanka,1952,NA,7982342
Sri Lanka,1957,NA,9128546
Sri Lanka,1962,NA,10421936
Sri Lanka,1967,NA,11737396
Sri Lanka,1972,NA,13016733
Sri Lanka,1977,NA,14116836
Sri Lanka,1982,NA,15410151
Sri Lanka,1987,NA,16495304
Sri Lanka,1992,NA,17587060
Sri Lanka,1997,NA,18698655
Sri Lanka,2002,NA,19576783
Sri Lanka,2007,NA,20378239
Sudan,1952,NA,8504667
Sudan,1957,NA,9753392
Sudan,1962,NA,11183227
Sudan,1967,NA,12716129
Sudan,1972,NA,14597019
Sudan,1977,NA,17104986
Sudan,1982,NA,20367053
Sudan,1987,NA,24725960
Sudan,1992,NA,28227588
Sudan,1997,NA,32160729
Sudan,2002,NA,37090298
Sudan,2007,NA,42292929
Swaziland,1952,NA,290243
Swaziland,1957,NA,326741
Swaziland,1962,NA,370006
Swaziland,1967,NA,420690
Swaziland,1972,NA,480105
Swaziland,1977,NA,551425
Swaziland,1982,NA,649901
Swaziland,1987,NA,779348
Swaziland,1992,NA,962344
Swaziland,1997,NA,1054486
Swaziland,2002,NA,1130269
Swaziland,2007,NA,1133066
Sweden,1952,NA,7124673
Sweden,1957,NA,7363802
Sweden,1962,NA,7561588
Sweden,1967,NA,7867931
Sweden,1972,NA,8122293
Sweden,1977,NA,8251648
Sweden,1982,NA,8325260
Sweden,1987,NA,8421403
Sweden,1992,NA,8718867
Sweden,1997,NA,8897619
Sweden,2002,NA,8954175
Sweden,2007,NA,9031088
Switzerland,1952,NA,4815000
Switzerland,1957,NA,5126000
Switzerland,1962,NA,5666000
Switzerland,1967,NA,6063000
Switzerland,1972,NA,6401400
Switzerland,1977,NA,6316424
Switzerland,1982,NA,6468126
Switzerland,1987,NA,6649942
Switzerland,1992,NA,6995447
Switzerland,1997,NA,7193761
Switzerland,2002,NA,7361757
Switzerland,2007,NA,7554661
Syria,1952,NA,3661549
Syria,1957,NA,4149908
Syria,1962,NA,4834621
Syria,1967,NA,5680812
Syria,1972,NA,6701172
Syria,1977,NA,7932503
Syria,1982,NA,9410494
Syria,1987,NA,11242847
Syria,1992,NA,13219062
Syria,1997,NA,15081016
Syria,2002,NA,17155814
Syria,2007,NA,19314747
Taiwan,1952,NA,8550362
Taiwan,1957,NA,10164215
Taiwan,1962,NA,11918938
Taiwan,1967,NA,13648692
Taiwan,1972,NA,15226039
Taiwan,1977,NA,16785196
Taiwan,1982,NA,18501390
Taiwan,1987,NA,19757799
Taiwan,1992,NA,20686918
Taiwan,1997,NA,21628605
Taiwan,2002,NA,22454239
Taiwan,2007,NA,23174294
Tanzania,1952,NA,8322925
Tanzania,1957,NA,9452826
Tanzania,1962,NA,10863958
Tanzania,1967,NA,12607312
Tanzania,1972,NA,14706593
Tanzania,1977,NA,17129565
Tanzania,1982,NA,19844382
Tanzania,1987,NA,23040630
Tanzania,1992,NA,26605473
Tanzania,1997,NA,30686889
Tanzania,2002,NA,34593779
Tanzania,2007,NA,38139640
Thailand,1952,NA,21289402
Thailand,1957,NA,25041917
Thailand,1962,NA,29263397
Thailand,1967,NA,34024249
Thailand,1972,NA,39276153
Thailand,1977,NA,44148285
Thailand,1982,NA,48827160
Thailand,1987,NA,52910342
Thailand,1992,NA,56667095
Thailand,1997,NA,60216677
Thailand,2002,NA,62806748
Thailand,2007,NA,65068149
Togo,1952,NA,1219113
Togo,1957,NA,1357445
Togo,1962,NA,1528098
Togo,1967,NA,1735550
Togo,1972,NA,2056351
Togo,1977,NA,2308582
Togo,1982,NA,2644765
Togo,1987,NA,3154264
Togo,1992,NA,3747553
Togo,1997,NA,4320890
Togo,2002,NA,4977378
Togo,2007,NA,5701579
Trinidad and Tobago,1952,NA,662850
Trinidad and Tobago,1957,NA,764900
Trinidad and Tobago,1962,NA,887498
Trinidad and Tobago,1967,NA,960155
Trinidad and Tobago,1972,NA,975199
Trinidad and Tobago,1977,NA,1039009
Trinidad and Tobago,1982,NA,1116479
Trinidad and Tobago,1987,NA,1191336
Trinidad and Tobago,1992,NA,1183669
Trinidad and Tobago,1997,NA,1138101
Trinidad and Tobago,2002,NA,1101832
Trinidad and Tobago,2007,NA,1056608
Tunisia,1952,NA,3647735
Tunisia,1957,NA,3950849
Tunisia,1962,NA,4286552
Tunisia,1967,NA,4786986
Tunisia,1972,NA,5303507
Tunisia,1977,NA,6005061
Tunisia,1982,NA,6734098
Tunisia,1987,NA,7724976
Tunisia,1992,NA,8523077
Tunisia,1997,NA,9231669
Tunisia,2002,NA,9770575
Tunisia,2007,NA,10276158
Turkey,1952,NA,22235677
Turkey,1957,NA,25670939
Turkey,1962,NA,29788695
Turkey,1967,NA,33411317
Turkey,1972,NA,37492953
Turkey,1977,NA,42404033
Turkey,1982,NA,47328791
Turkey,1987,NA,52881328
Turkey,1992,NA,58179144
Turkey,1997,NA,63047647
Turkey,2002,NA,67308928
Turkey,2007,NA,71158647
Uganda,1952,NA,5824797
Uganda,1957,NA,6675501
Uganda,1962,NA,7688797
Uganda,1967,NA,8900294
Uganda,1972,NA,10190285
Uganda,1977,NA,11457758
Uganda,1982,NA,12939400
Uganda,1987,NA,15283050
Uganda,1992,NA,18252190
Uganda,1997,NA,21210254
Uganda,2002,NA,24739869
Uganda,2007,NA,29170398
United Kingdom,1952,NA,50430000
United Kingdom,1957,NA,51430000
United Kingdom,1962,NA,53292000
United Kingdom,1967,NA,54959000
United Kingdom,1972,NA,56079000
United Kingdom,1977,NA,56179000
United Kingdom,1982,NA,56339704
United Kingdom,1987,NA,56981620
United Kingdom,1992,NA,57866349
United Kingdom,1997,NA,58808266
United Kingdom,2002,NA,59912431
United Kingdom,2007,NA,60776238
United States,1952,NA,157553000
United States,1957,NA,171984000
United States,1962,NA,186538000
United States,1967,NA,198712000
United States,1972,NA,209896000
United States,1977,NA,220239000
United States,1982,NA,232187835
United States,1987,NA,242803533
United States,1992,NA,256894189
United States,1997,NA,272911760
United States,2002,NA,287675526
United States,2007,NA,301139947
Uruguay,1952,NA,2252965
Uruguay,1957,NA,2424959
Uruguay,1962,NA,2598466
Uruguay,1967,NA,2748579
Uruguay,1972,NA,2829526
Uruguay,1977,NA,2873520
Uruguay,1982,NA,2953997
Uruguay,1987,NA,3045153
Uruguay,1992,NA,3149262
Uruguay,1997,NA,3262838
Uruguay,2002,NA,3363085
Uruguay,2007,NA,3447496
Venezuela,1952,NA,5439568
Venezuela,1957,NA,6702668
Venezuela,1962,NA,8143375
Venezuela,1967,NA,9709552
Venezuela,1972,NA,11515649
Venezuela,1977,NA,13503563
Venezuela,1982,NA,15620766
Venezuela,1987,NA,17910182
Venezuela,1992,NA,20265563
Venezuela,1997,NA,22374398
Venezuela,2002,NA,24287670
Venezuela,2007,NA,26084662
Vietnam,1952,NA,26246839
Vietnam,1957,NA,28998543
Vietnam,1962,NA,33796140
Vietnam,1967,NA,39463910
Vietnam,1972,NA,44655014
Vietnam,1977,NA,50533506
Vietnam,1982,NA,56142181
Vietnam,1987,NA,62826491
Vietnam,1992,NA,69940728
Vietnam,1997,NA,76048996
Vietnam,2002,NA,80908147
Vietnam,2007,NA,85262356
West Bank and Gaza,1952,NA,1030585
West Bank and Gaza,1957,NA,1070439
West Bank and Gaza,1962,NA,1133134
West Bank and Gaza,1967,NA,1142636
West Bank and Gaza,1972,NA,1089572
West Bank and Gaza,1977,NA,1261091
West Bank and Gaza,1982,NA,1425876
West Bank and Gaza,1987,NA,1691210
West Bank and Gaza,1992,NA,2104779
West Bank and Gaza,1997,NA,2826046
West Bank and Gaza,2002,NA,3389578
West Bank and Gaza,2007,NA,4018332
"Yemen, Rep.",1952,NA,4963829
"Yemen, Rep.",1957,NA,5498090
"Yemen, Rep.",1962,NA,6120081
"Yemen, Rep.",1967,NA,6740785
"Yemen, Rep.",1972,NA,7407075
"Yemen, Rep.",1977,NA,8403990
"Yemen, Rep.",1982,NA,9657618
"Yemen, Rep.",1987,NA,11219340
"Yemen, Rep.",1992,NA,13367997
"Yemen, Rep.",1997,NA,15826497
"Yemen, Rep.",2002,NA,18701257
"Yemen, Rep.",2007,NA,22211743
Zambia,1952,NA,2672000
Zambia,1957,NA,3016000
Zambia,1962,NA,3421000
Zambia,1967,NA,3900000
Zambia,1972,NA,4506497
Zambia,1977,NA,5216550
Zambia,1982,NA,6100407
Zambia,1987,NA,7272406
Zambia,1992,NA,8381163
Zambia,1997,NA,9417789
Zambia,2002,NA,10595811
Zambia,2007,NA,11746035
Zimbabwe,1952,NA,3080907
Zimbabwe,1957,NA,3646340
Zimbabwe,1962,NA,4277736
Zimbabwe,1967,NA,4995432
Zimbabwe,1972,NA,5861135
Zimbabwe,1977,NA,6642107
Zimbabwe,1982,NA,7636524
Zimbabwe,1987,NA,9216418
Zimbabwe,1992,NA,10704340
Zimbabwe,1997,NA,11404948
Zimbabwe,2002,NA,11926563
Zimbabwe,2007,NA,12311143
